"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Search Function Verification","Navigate to product page from search results by clicking the product ID","0","0","16","0","0"
"","Search Function Verification","Navigate to product page from search results by clicking the product image","0","0","16","0","0"
"","Catalog Page Verification","Verify Presence of Page Elements","0","0","1","0","0"
"","Search Function Verification","Search with valid inputs showing only one product ID","4","0","0","0","0"
"","Cart Page Verification","Verify Cart Page Elements","0","0","28","0","0"
"","Cart Page Verification","Verify Remove Button and Other Links","0","0","28","0","0"
"","Item Page Verification","Page Title and URL Verification","0","0","28","0","0"
"","Catalog Page Verification","Verify Navigation from Various Links","0","0","6","0","0"
"","Cart Page Verification","Verify Cart Page URL and Title","0","0","28","0","0"
"","Item Page Verification","Element Presence Verification","0","0","28","0","0"
"","Order Information Page Verification","Verifying Order Information Page Links","0","0","1","0","0"
"","Sign-In Page Verification","Verify Text and Values of Elements","0","0","1","0","0"
"","Item Page Verification","URL Verification","0","0","28","0","0"
"","Cart Page Verification","Remove item from cart and verify empty state","0","0","28","0","0"
"","Cart Page Verification","Verify Texts and Values on Cart Page","0","0","28","0","0"
"","Sign-In Page Verification","Verify Page Title and URL","0","0","1","0","0"
"","Cart Page Verification","Verify Cart Updates and Quantities","0","0","28","0","0"
"","Sign-In Page Verification","Verify Register Now Link URL","0","0","1","0","0"
"","Category Page Verification","Verify Page Title and URL for Each Category","0","0","5","0","0"
"","Product Page Verification","Link Verification","0","0","28","0","0"
"","Search Function Verification","Search with an invalid input","0","0","1","0","0"
"","Search Function Verification","Navigate to product page from search results by clicking the product description","0","0","16","0","0"
"","Search Function Verification","Verify product image src value for search results","5","0","11","0","0"
"","Search Function Verification","Search with valid inputs","0","0","16","0","0"
"","Registration Page Verification","Verify Text and Values of Elements","0","0","1","0","0"
"","Catalog Page Verification","Verify Navigation from Quick Links Section","0","0","5","0","0"
"","Item Page Verification","Image Source Verification","11","0","17","0","0"
"","Product Page Verification","Text and Table Headers Validation","0","0","28","0","0"
